Feb 11 - First Turn Games - Cedar Rapids, IA - Modern
Feb 11 - Game State - Spencer, IA - $1000 Modern
Feb 11 - MinMaxGames - Addison, IL - 2 slot Modern
Feb 11 - Titan Games - Champaign, IL - Pioneer
Feb 11 - Gators Games and Hobby - Leavenworth, KS - 2 slot Pioneer
Feb 11 - Odyssey Games - Kalamazoo, MI - 2 slot Modern
Feb 11 - Jester's Gallery - Waterford, MI - Pioneer
Feb 11 - Dreamers Vault Games - Minneapolis, MN - Pioneer
Feb 11 - Hurley's Heroes - Joplin, MO - Pioneer
Feb 11 - Paradox Comics n Cards - Fargo, ND - 2 slot ONE Limited
Feb 11 - JWW Sports Cards & Gaming - Fargo, ND - Modern
Feb 11 - Krypton Comics - Omaha, NE - $1000 Modern
Feb 11 - Level Two - Avon, OH - Modern
Feb 11 - VGMX - Shrock - Columbus, OH - ONE Limited
Feb 11 - Trading Card Academy - Harrison, OH - ONE Limited
Feb 11 - Game Universe - Mequon, WI - Modern
Feb 11 - ISO Games - Wausau, WI - Modern
Feb 12 - Odyssey Games - Kalamazoo, MI - 2 slot Pioneer
Feb 12 - Table Top Tournaments - Crystal, MN - Modern
Feb 12 - Gamez & More - Rochester, MN - Modern
Feb 18 - Limited Edition Comics - Cedar Falls, IA - Modern
Feb 18 - Gamestorm - Lemont, IL - 2 slot Modern
Feb 18 - Asgard Keep - Mount Vernon, IL - Pioneer
Feb 18 - Grognard Games - Roselle, IL - Pioneer
Feb 18 - Moonshot Games - Noblesville, IN - 2 slot ONE Limited
Feb 18 - The Geekery - Shawnee, KS - 2 slot Modern
Feb 18 - One Drop Game Shop - Wichita, KS - Modern
Feb 18 - Galactic Toys - Kentwood, MI - 2 slot ONE Limited
Feb 18 - The Dork Den - Mankato, MN - Pioneer
Feb 18 - Cards N Stripes - Republic, MO - ONE Limited
Feb 18 - Collector Store - St. Peters, MO - Modern
Feb 18 - HobbyTown USA (south) - Lincoln, NE - 2 slot Modern
Feb 18 - Full Grip Games - Akron, OH - 2 slot Modern
Feb 18 - Epic Loot - Centerville, OH - 2 slot Pioneer
Feb 18 - Dragon's Roost - Holland, OH - Pioneer
Feb 18 - Game Room - Toledo, OH - Pioneer
Feb 18 - Dragon's Den - Sioux Falls, SD - Modern
Feb 18 - D20 Gaming - Eau Claire, WI - $1000 Modern
Feb 18 - Blind Tiger Games - Neenah, WI - Pioneer
Feb 19 - Games King - Sioux City, IA - Modern
Feb 19 - The Zone - Pekin, IL - Pioneer
Feb 19 - GriffoNest Games - Woodstock, IL - 2 slot Pioneer
Feb 19 - Paradigm Games - Indianapolis, IN - ONE Limited
Feb 19 - Pearl Street Games and Coffee - Jeffersonville, IN - 2 slot Modern
Feb 19 - The Geekery - Shawnee, KS - 2 slot Modern
Feb 19 - Parallax Computers and Games - Bismarck, ND - Pioneer
Feb 19 - Hero's Ink - Delavan, WI - ONE Limited
Feb 24 - Nerdy Necessities - Salem, OH - Pioneer
Feb 25 - Red Raccoon Games - Bloomington, IL - Pioneer
Feb 25 - Chupacabra Games - Naperville, IL - Modern
Feb 25 - Pastimes - Niles, IL - 2 slot ONE Limited
Feb 25 - Perfect Storm Comics and Games - Battle Creek, MI - Modern
Feb 25 - Gamer's Gauntlet - Clinton Township, MI - Pioneer
Feb 25 - Dreamers Vault Games - Burnsville, MN - Modern
Feb 25 - Lodestone Coffee and Games - Minnetonka, MN - 2 slot Modern
Feb 25 - Game Cafe - Independence, MO - 2 slot Pioneer
Feb 25 - Spellbreaker Games - Jackson, MO - Modern
Feb 25 - Meta Games Unlimited - Springfield, MO - 2 slot Pioneer
Feb 25 - Paradox Comics n Cards - Fargo, ND - 2 slot Modern
Feb 25 - No Limit Gaming - Kettering, OH - Modern
Feb 25 - Misty Mountain Games - Madison, WI - Modern
Feb 25 - The Boardwalk - Rice Lake, WI - ONE Limited
Feb 26 - First Aid Comics - Hyde Park - Chicago, IL - ONE Limited
Feb 26 - The Castle Games - Columbus, IN - 2 slot Modern
